agent,trial,episode,cumulativeReward,averageReward,cumulativeSteps,numSteps
Q Action Penalty,1,89,90.0,0.041666666666666664,6036.0,24.0
Q Action Penalty,1,90,91.0,0.041666666666666664,6060.0,24.0
Q Action Penalty,1,91,92.0,0.05,6080.0,20.0
Q Action Penalty,1,92,93.0,0.045454545454545456,6102.0,22.0
Q Action Penalty,1,93,94.0,0.045454545454545456,6124.0,22.0
Q Action Penalty,1,94,95.0,0.045454545454545456,6146.0,22.0
Q Action Penalty,1,95,96.0,0.03333333333333333,6176.0,30.0
Q Action Penalty,1,96,97.0,0.045454545454545456,6198.0,22.0
Q Action Penalty,1,97,98.0,0.041666666666666664,6222.0,24.0
Q Action Penalty,1,98,99.0,0.045454545454545456,6244.0,22.0
Q Action Penalty,1,99,100.0,0.038461538461538464,6270.0,26.0
Q Action Penalty,2,0,1.0,0.0017241379310344827,580.0,580.0
Q Action Penalty,2,1,2.0,0.003134796238244514,899.0,319.0
Q Action Penalty,2,2,3.0,0.003278688524590164,1204.0,305.0
Q Action Penalty,2,3,4.0,0.003952569169960474,1457.0,253.0
Q Action Penalty,2,4,5.0,0.0030303030303030303,1787.0,330.0
Q Action Penalty,2,5,6.0,0.006097560975609756,1951.0,164.0
Q Action Penalty,2,6,7.0,0.00980392156862745,2053.0,102.0
Q Action Penalty,2,7,8.0,0.004081632653061225,2298.0,245.0
Q Action Penalty,2,8,9.0,0.007692307692307693,2428.0,130.0
Q Action Penalty,2,9,10.0,0.02,2478.0,50.0
Q Action Penalty,2,10,11.0,0.01,2578.0,100.0
Q Action Penalty,2,11,12.0,0.01282051282051282,2656.0,78.0
Q Action Penalty,2,12,13.0,0.006802721088435374,2803.0,147.0
Q Action Penalty,2,13,14.0,0.008333333333333333,2923.0,120.0
Q Action Penalty,2,14,15.0,0.02564102564102564,2962.0,39.0
Q Action Penalty,2,15,16.0,0.010101010101010102,3061.0,99.0
Q Action Penalty,2,16,17.0,0.009345794392523364,3168.0,107.0
Q Action Penalty,2,17,18.0,0.008403361344537815,3287.0,119.0
Q Action Penalty,2,18,19.0,0.007692307692307693,3417.0,130.0
Q Action Penalty,2,19,20.0,0.01282051282051282,3495.0,78.0
Q Action Penalty,2,20,21.0,0.010101010101010102,3594.0,99.0
Q Action Penalty,2,21,22.0,0.015625,3658.0,64.0
Q Action Penalty,2,22,23.0,0.0136986301369863,3731.0,73.0
Q Action Penalty,2,23,24.0,0.022727272727272728,3775.0,44.0
Q Action Penalty,2,24,25.0,0.024390243902439025,3816.0,41.0
Q Action Penalty,2,25,26.0,0.037037037037037035,3843.0,27.0
Q Action Penalty,2,26,27.0,0.017857142857142856,3899.0,56.0
Q Action Penalty,2,27,28.0,0.019230769230769232,3951.0,52.0
Q Action Penalty,2,28,29.0,0.0136986301369863,4024.0,73.0
Q Action Penalty,2,29,30.0,0.013333333333333334,4099.0,75.0
Q Action Penalty,2,30,31.0,0.022222222222222223,4144.0,45.0
Q Action Penalty,2,31,32.0,0.02702702702702703,4181.0,37.0
Q Action Penalty,2,32,33.0,0.02631578947368421,4219.0,38.0
Q Action Penalty,2,33,34.0,0.012048192771084338,4302.0,83.0
Q Action Penalty,2,34,35.0,0.022727272727272728,4346.0,44.0
Q Action Penalty,2,35,36.0,0.022727272727272728,4390.0,44.0
Q Action Penalty,2,36,37.0,0.01818181818181818,4445.0,55.0
Q Action Penalty,2,37,38.0,0.015151515151515152,4511.0,66.0
Q Action Penalty,2,38,39.0,0.02702702702702703,4548.0,37.0
Q Action Penalty,2,39,40.0,0.02127659574468085,4595.0,47.0
Q Action Penalty,2,40,41.0,0.03225806451612903,4626.0,31.0
Q Action Penalty,2,41,42.0,0.030303030303030304,4659.0,33.0
Q Action Penalty,2,42,43.0,0.025,4699.0,40.0
Q Action Penalty,2,43,44.0,0.023809523809523808,4741.0,42.0
Q Action Penalty,2,44,45.0,0.038461538461538464,4767.0,26.0
Q Action Penalty,2,45,46.0,0.022727272727272728,4811.0,44.0
Q Action Penalty,2,46,47.0,0.038461538461538464,4837.0,26.0
Q Action Penalty,2,47,48.0,0.03571428571428571,4865.0,28.0
Q Action Penalty,2,48,49.0,0.01694915254237288,4924.0,59.0
Q Action Penalty,2,49,50.0,0.041666666666666664,4948.0,24.0
Q Action Penalty,2,50,51.0,0.024390243902439025,4989.0,41.0
Q Action Penalty,2,51,52.0,0.038461538461538464,5015.0,26.0
Q Action Penalty,2,52,53.0,0.043478260869565216,5038.0,23.0
Q Action Penalty,2,53,54.0,0.041666666666666664,5062.0,24.0
Q Action Penalty,2,54,55.0,0.029411764705882353,5096.0,34.0
Q Action Penalty,2,55,56.0,0.02127659574468085,5143.0,47.0
Q Action Penalty,2,56,57.0,0.05,5163.0,20.0
Q Action Penalty,2,57,58.0,0.034482758620689655,5192.0,29.0
Q Action Penalty,2,58,59.0,0.045454545454545456,5214.0,22.0
Q Action Penalty,2,59,60.0,0.03571428571428571,5242.0,28.0
Q Action Penalty,2,60,61.0,0.03125,5274.0,32.0
Q Action Penalty,2,61,62.0,0.05,5294.0,20.0
Q Action Penalty,2,62,63.0,0.045454545454545456,5316.0,22.0
Q Action Penalty,2,63,64.0,0.03333333333333333,5346.0,30.0
Q Action Penalty,2,64,65.0,0.04,5371.0,25.0
Q Action Penalty,2,65,66.0,0.021739130434782608,5417.0,46.0
Q Action Penalty,2,66,67.0,0.03225806451612903,5448.0,31.0
Q Action Penalty,2,67,68.0,0.017543859649122806,5505.0,57.0
Q Action Penalty,2,68,69.0,0.03571428571428571,5533.0,28.0
Q Action Penalty,2,69,70.0,0.03225806451612903,5564.0,31.0
Q Action Penalty,2,70,71.0,0.030303030303030304,5597.0,33.0
Q Action Penalty,2,71,72.0,0.038461538461538464,5623.0,26.0
Q Action Penalty,2,72,73.0,0.03571428571428571,5651.0,28.0
Q Action Penalty,2,73,74.0,0.041666666666666664,5675.0,24.0
Q Action Penalty,2,74,75.0,0.029411764705882353,5709.0,34.0
Q Action Penalty,2,75,76.0,0.05,5729.0,20.0
Q Action Penalty,2,76,77.0,0.043478260869565216,5752.0,23.0
Q Action Penalty,2,77,78.0,0.047619047619047616,5773.0,21.0
Q Action Penalty,2,78,79.0,0.047619047619047616,5794.0,21.0
Q Action Penalty,2,79,80.0,0.038461538461538464,5820.0,26.0
Q Action Penalty,2,80,81.0,0.034482758620689655,5849.0,29.0
Q Action Penalty,2,81,82.0,0.041666666666666664,5873.0,24.0
Q Action Penalty,2,82,83.0,0.038461538461538464,5899.0,26.0
Q Action Penalty,2,83,84.0,0.03333333333333333,5929.0,30.0
Q Action Penalty,2,84,85.0,0.045454545454545456,5951.0,22.0
Q Action Penalty,2,85,86.0,0.034482758620689655,5980.0,29.0
Q Action Penalty,2,86,87.0,0.034482758620689655,6009.0,29.0
Q Action Penalty,2,87,88.0,0.045454545454545456,6031.0,22.0
Q Action Penalty,2,88,89.0,0.05,6051.0,20.0
Q Action Penalty,2,89,90.0,0.045454545454545456,6073.0,22.0
Q Action Penalty,2,90,91.0,0.045454545454545456,6095.0,22.0
Q Action Penalty,2,91,92.0,0.041666666666666664,6119.0,24.0
Q Action Penalty,2,92,93.0,0.045454545454545456,6141.0,22.0
Q Action Penalty,2,93,94.0,0.047619047619047616,6162.0,21.0
Q Action Penalty,2,94,95.0,0.03571428571428571,6190.0,28.0
Q Action Penalty,2,95,96.0,0.037037037037037035,6217.0,27.0
Q Action Penalty,2,96,97.0,0.045454545454545456,6239.0,22.0
Q Action Penalty,2,97,98.0,0.05,6259.0,20.0
Q Action Penalty,2,98,99.0,0.05,6279.0,20.0
Q Action Penalty,2,99,100.0,0.043478260869565216,6302.0,23.0
Q Action Penalty,3,0,1.0,0.0030864197530864196,324.0,324.0
Q Action Penalty,3,1,2.0,0.0030864197530864196,648.0,324.0
Q Action Penalty,3,2,3.0,0.002109704641350211,1122.0,474.0
Q Action Penalty,3,3,4.0,0.014925373134328358,1189.0,67.0
Q Action Penalty,3,4,5.0,0.0029585798816568047,1527.0,338.0
Q Action Penalty,3,5,6.0,0.006622516556291391,1678.0,151.0
Q Action Penalty,3,6,7.0,0.012987012987012988,1755.0,77.0
Q Action Penalty,3,7,8.0,0.00980392156862745,1857.0,102.0
Q Action Penalty,3,8,9.0,0.006369426751592357,2014.0,157.0
Q Action Penalty,3,9,10.0,0.005813953488372093,2186.0,172.0
Q Action Penalty,3,10,11.0,0.025,2226.0,40.0
Q Action Penalty,3,11,12.0,0.01282051282051282,2304.0,78.0
Q Action Penalty,3,12,13.0,0.008771929824561403,2418.0,114.0
Q Action Penalty,3,13,14.0,0.004149377593360996,2659.0,241.0
Q Action Penalty,3,14,15.0,0.006134969325153374,2822.0,163.0
Q Action Penalty,3,15,16.0,0.006211180124223602,2983.0,161.0
Q Action Penalty,3,16,17.0,0.013513513513513514,3057.0,74.0
Q Action Penalty,3,17,18.0,0.0072992700729927005,3194.0,137.0
Q Action Penalty,3,18,19.0,0.01098901098901099,3285.0,91.0
Q Action Penalty,3,19,20.0,0.014705882352941176,3353.0,68.0
Q Action Penalty,3,20,21.0,0.007462686567164179,3487.0,134.0
Q Action Penalty,3,21,22.0,0.008620689655172414,3603.0,116.0
Q Action Penalty,3,22,23.0,0.02,3653.0,50.0
Q Action Penalty,3,23,24.0,0.012987012987012988,3730.0,77.0
Q Action Penalty,3,24,25.0,0.010416666666666666,3826.0,96.0
Q Action Penalty,3,25,26.0,0.010752688172043012,3919.0,93.0
Q Action Penalty,3,26,27.0,0.016129032258064516,3981.0,62.0
Q Action Penalty,3,27,28.0,0.02564102564102564,4020.0,39.0
Q Action Penalty,3,28,29.0,0.02702702702702703,4057.0,37.0
Q Action Penalty,3,29,30.0,0.02040816326530612,4106.0,49.0
Q Action Penalty,3,30,31.0,0.022222222222222223,4151.0,45.0
Q Action Penalty,3,31,32.0,0.022727272727272728,4195.0,44.0
Q Action Penalty,3,32,33.0,0.017857142857142856,4251.0,56.0
Q Action Penalty,3,33,34.0,0.027777777777777776,4287.0,36.0
Q Action Penalty,3,34,35.0,0.009900990099009901,4388.0,101.0
Q Action Penalty,3,35,36.0,0.012048192771084338,4471.0,83.0
Q Action Penalty,3,36,37.0,0.0196078431372549,4522.0,51.0
Q Action Penalty,3,37,38.0,0.03225806451612903,4553.0,31.0
Q Action Penalty,3,38,39.0,0.04,4578.0,25.0
Q Action Penalty,3,39,40.0,0.022222222222222223,4623.0,45.0
Q Action Penalty,3,40,41.0,0.02631578947368421,4661.0,38.0
Q Action Penalty,3,41,42.0,0.034482758620689655,4690.0,29.0
Q Action Penalty,3,42,43.0,0.038461538461538464,4716.0,26.0
Q Action Penalty,3,43,44.0,0.03225806451612903,4747.0,31.0
Q Action Penalty,3,44,45.0,0.03125,4779.0,32.0
Q Action Penalty,3,45,46.0,0.021739130434782608,4825.0,46.0
Q Action Penalty,3,46,47.0,0.017241379310344827,4883.0,58.0
Q Action Penalty,3,47,48.0,0.02631578947368421,4921.0,38.0
Q Action Penalty,3,48,49.0,0.03125,4953.0,32.0
Q Action Penalty,3,49,50.0,0.038461538461538464,4979.0,26.0
